Problem Size , Direct Sum,Indirect Sum , Vector Sum
83886068,0,2.739734,10.124186
16777216,0,2.701172,10.993166
33554432,0,2.743923,9.996245
67108864,0,2.743892,11.272674
134217728,0,2.741634,11.567212
268435456,0,0.638801,12.429831
