Problem Size ,Direct Sum,Indirect Sum,Vector Sum
83886068,0,1.425777,0.385834
16777216,0,1.446132,0.355334
33554432,0,1.423601,0.390772
67108864,0,1.423616,0.346524
134217728,0,1.424789,0.3377
268435456,0,6.114976,0.314264
