Problem Size , Direct Sum,Indirect Sum , Vector Sum
83886068,0,6.6427,10.239578
16777216,0,6.727134,11.04663
33554432,0,6.752012,10.940308
67108864,0,6.776488,11.184396
134217728,0,6.798698,11.654491
268435456,0,6.762223,12.07938
