Problem Size,Direct Sum,Indirect Sum,Vector Sum
83886068,1753.959924,701.371915,2591.791525
16777216,1756.124847,691.500034,2814.250455
33554432,1755.715118,702.444219,2559.038642
67108864,1755.57292,702.436418,2885.804491
134217728,1756.428064,701.858198,2961.206196
268435456,1755.913952,163.532929,3182.036717
